,PH_Al,PH_Eut,PH_AlSc2Si2,EL_Sc
514,0.5386234,0.44810456,0.0073506907,0.514
515,0.53868294,0.44800693,0.0073629916,0.515
516,0.53874254,0.44790924,0.0073753,0.516
517,0.5388021,0.4478116,0.0073875934,0.517
518,0.53886163,0.44771394,0.0073999017,0.518
519,0.53892124,0.44761625,0.007412195,0.519
520,0.5389808,0.4475186,0.0074245036,0.52
521,0.5390403,0.44742092,0.007436797,0.521
522,0.53909993,0.44732326,0.007449098,0.522
523,0.5391594,0.44722563,0.0074614063,0.523
524,0.539219,0.44712797,0.007473707,0.524
525,0.53927857,0.4470303,0.0074860007,0.525
526,0.5393381,0.44693264,0.007498309,0.526
527,0.5393977,0.44683498,0.0075106025,0.527
528,0.53945726,0.44673735,0.007522911,0.528
529,0.5395168,0.4466397,0.007535219,0.529
530,0.5395764,0.44654202,0.0075475127,0.53
531,0.53963596,0.44644433,0.0075598136,0.531
532,0.5396955,0.4463467,0.007572122,0.532
533,0.53975505,0.44624904,0.0075844154,0.533
534,0.5398146,0.44615138,0.0075967237,0.534
535,0.5398742,0.44605368,0.0076090246,0.535
536,0.53993374,0.44595605,0.007621318,0.536
537,0.5399933,0.4458584,0.0076336265,0.537
538,0.54005283,0.44576073,0.007645935,0.538
539,0.54011244,0.44566306,0.0076582283,0.539
540,0.5396426,0.44639632,0.0076915696,0.54
541,0.5390441,0.44733143,0.007730022,0.541
542,0.5384456,0.44826654,0.0077684596,0.542
543,0.5378471,0.44920164,0.007806912,0.543
544,0.53724855,0.4501368,0.007845357,0.544
545,0.53665006,0.45107195,0.007883817,0.545
546,0.5360516,0.45200706,0.007922262,0.546
547,0.5354415,0.45285937,0.007954687,0.547
548,0.5348002,0.45348704,0.00797078,0.548
549,0.5341588,0.45411474,0.007986866,0.549
550,0.5335175,0.4547424,0.008002959,0.55
551,0.53287613,0.45537007,0.008019052,0.551
552,0.5322348,0.45599774,0.008035146,0.552
553,0.53159344,0.4566254,0.008051239,0.553
554,0.53095204,0.4572531,0.008067332,0.554
555,0.5303107,0.45788077,0.008083425,0.555
556,0.52966934,0.45850843,0.008099496,0.556
557,0.529028,0.45913607,0.008115597,0.557
558,0.5283866,0.45976377,0.008131683,0.558
